Open,High,Low,Volume,Close
465.864013671875,468.1740112304688,452.4219970703125,21056800,457.3340148925781
456.8599853515625,456.8599853515625,413.10400390625,34483200,424.4400024414063
424.1029968261719,427.8349914550781,384.5320129394531,37919700,394.7959899902344
394.6730041503906,423.2959899902344,389.8829956054688,36863600,408.9039916992188
408.0849914550781,412.4259948730469,393.1809997558594,26580100,398.8210144042969
399.1000061035156,406.9159851074219,397.1300048828125,24127600,402.1520080566406
402.0920104980469,441.5570068359375,396.1969909667969,45099500,435.7909851074219
435.7510070800781,436.1119995117188,421.1319885253906,30627700,423.2049865722656
423.156005859375,423.5199890136719,409.4679870605469,26814400,411.5740051269531
411.4289855957031,414.93798828125,400.0090026855469,21460800,404.4249877929688
403.5559997558594,406.62298583984375,397.37200927734375,15029300,399.5199890136719
399.4710083007813,401.0169982910156,374.3320007324219,23613300,377.1809997558594
376.9280090332031,385.21099853515625,372.239990234375,32497700,375.4670104980469
376.0880126953125,390.97698974609375,373.4429931640625,34707300,386.9440002441406
387.427001953125,391.3789978027344,380.7799987792969,26229400,383.614990234375
383.9880065917969,385.49700927734375,372.9460144042969,21777700,375.0719909667969
375.1809997558594,377.6950073242188,357.8590087890625,30901200,359.5119934082031
359.8919982910156,364.4869995117188,325.885986328125,47236500,328.8659973144531
328.9159851074219,341.8009948730469,289.2959899902344,83308096,320.510009765625
320.3890075683594,345.1340026855469,302.5599975585937,79011800,330.0790100097656
330.5840148925781,339.2470092773437,320.48199462890625,49199900,336.18701171875
336.1159973144531,354.364013671875,327.18798828125,54736300,352.94000244140625
352.7479858398437,382.72601318359375,347.68701171875,83641104,365.0260009765625
364.68701171875,375.0669860839844,352.9630126953125,43665700,361.56201171875
361.3619995117188,367.1910095214844,355.95098876953125,13345200,362.2990112304688
362.6059875488281,379.4330139160156,356.1440124511719,17552800,378.5490112304688
377.9209899902344,397.22601318359375,368.8970031738281,35221400,390.41400146484375
391.6919860839844,411.697998046875,391.3240051269531,38491500,400.8699951171875
400.9549865722656,402.22698974609375,388.7659912109375,25267100,394.7730102539063
394.51800537109375,398.8070068359375,373.0700073242188,26990000,382.5559997558594
382.7560119628906,385.4779968261719,375.3890075683594,13600700,383.7579956054688
383.97601318359375,395.1579895019531,378.9710083007813,11416800,391.4419860839844
391.2539978027344,393.9389953613281,386.4570007324219,5914570,389.5459899902344
389.2309875488281,390.0840148925781,378.25201416015625,16419000,382.8450012207031
382.4209899902344,392.64599609375,380.8340148925781,14188900,386.4750061035156
386.1180114746094,388.5759887695313,382.2489929199219,11641300,383.1579895019531
382.9620056152344,385.0480041503906,356.4469909667969,26456900,358.4169921875
358.59100341796875,364.3450012207031,353.30499267578125,15585700,358.3450012207031
358.6109924316406,359.8609924316406,342.87701416015625,18127500,347.27099609375
